code,name,date,open,high,low,close,volume,volume-1,volume-2,volume-3,candle,candle-1,candle-2,candle-3,ma5,dcm-ma5,ma20,dcm-ma20
006880,신송홀딩스,2020-01-03,4040,4060,3995,4035,14996,29916.0,14889.0,12732.0,0.9988,1.0151,1.0063,0.9777,3996.0,1.0098,3974.25,1.0153
019170,신풍제약,2020-01-03,7320,7370,7170,7230,411609,649218.0,903900.0,527228.0,0.9877,0.9986,1.0328,1.0326,7100.0,1.0183,6905.5,1.047
293940,신한알파리츠,2020-01-03,7860,7920,7700,7860,192994,191433.0,98271.0,131033.0,1.0,1.0329,0.9845,1.0026,7728.0,1.0171,7681.5,1.0232
055550,신한지주,2020-01-03,42750,43200,42650,42750,962862,772880.0,1151434.0,1181670.0,1.0,0.9884,0.9897,0.9977,43710.0,0.978,44345.0,0.964
011090,에넥스,2020-01-03,1160,1185,1150,1165,310386,156723.0,164767.0,169708.0,1.0043,1.0267,1.0045,1.0229,1133.0,1.0282,1150.25,1.0128
012280,영화금속,2020-01-03,1690,1740,1660,1735,1118928,961763.0,238311.0,322392.0,1.0266,1.0276,1.0125,1.0,1649.0,1.0522,1626.0,1.067
105840,우진,2020-01-03,4200,4275,4200,4250,56493,54973.0,121747.0,123586.0,1.0119,1.0108,1.0145,1.0362,4173.0,1.0185,4262.0,0.9972
005820,원림,2020-01-03,18700,19800,18700,19400,2263,6063.0,2336.0,81.0,1.0374,1.0525,1.0312,1.0087,18300.0,1.0601,17562.5,1.1046
008600,윌비스,2020-01-03,1450,1455,1405,1405,1149880,1574702.0,768563.0,1702540.0,0.969,1.0105,1.0142,1.0253,1418.0,0.9908,1357.25,1.0352
033270,유나이티드,2020-01-03,18550,18800,18300,18350,35676,35620.0,34130.0,37970.0,0.9892,1.0109,1.0055,0.9973,18400.0,0.9973,18352.5,0.9999
047400,유니온머티리얼,2020-01-03,2365,2385,2340,2365,317276,218617.0,311582.0,141851.0,1.0,1.0021,1.0283,1.0132,2336.0,1.0124,2356.75,1.0035
088260,이리츠코크렙,2020-01-03,6740,6740,6640,6730,130907,67846.0,41521.0,109742.0,0.9985,0.9897,0.9884,1.0059,6810.0,0.9883,6749.5,0.9971
023800,인지컨트롤스,2020-01-03,5050,5110,4930,4990,47828,58862.0,56838.0,27187.0,0.9881,1.0152,1.027,1.0158,4915.0,1.0153,4761.0,1.0481
249420,일동제약,2020-01-03,16950,17100,16700,16850,55663,91445.0,71483.0,53125.0,0.9941,1.0119,1.006,1.0122,16740.0,1.0066,16557.5,1.0177
