,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A000370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,5.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,8.44,,,,,,,,,,,,,,,,,,,,,,0.23,,,,한화손해보험,보험업,손해보험,1975-06-30,12월,박윤식,http://www.hwgeneralins.com/,서울특별시
A000390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,8.02,11.46,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,8.71,16.88,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,11.61,97.82,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,12.03,240.98,0.35,,,,,,,,,,,,,,,,,,,,,0.46,,,,삼화페인트공업,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조",1993-09-10,12월,"김장연,오진수(각자대표)",http://www.samhwa.com,경기도
A000400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,롯데손해보험,보험업,손해보험업,1971-04-16,12월,최원진,http://www.lotteins.co.kr,서울특별시
A000430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,4.68,15.89,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,3.18,7.24,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,3.06,10.66,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,3.31,13.80,0.24,,,,,,,,,,,,,,,,,,,,,0.52,,,,대원강업,자동차 신품 부품 제조업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",1977-06-22,12월,"허재철, 허승호, 성열각",http://www.dwku.com,충청남도
A000440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,13.03,40.75,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,12.94,36.35,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,13.64,22.85,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,21.82,46.88,0.55,,,,,,,,,,,,,,,,,,,,,,,,,중앙에너비스,기타 전문 도매업,석유류도소매,1993-03-24,12월,"한상열, 한상은 (각자 대표이사)",http://www.enervis.co.kr,서울특별시
A000480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,6.77,22.10,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,7.54,25.29,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,7.94,25.38,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,4.14,6.33,0.42,,,,,,,,,,,,,,,,,,,,,0.58,,,,조선내화,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",1978-06-30,12월,이금옥,http://www.chosunref.co.kr,전라남도
A000490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,7.48,65.25,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,25.32,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,6.57,23.68,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,4.67,99.90,0.19,,,,,,,,,,,,,,,,,,,,,0.68,,,,대동공업,특수 목적용 기계 제조업,"경운기,트랙터,이앙기,바인더,수확기(콤바인),농업용엔진 및 부품 제조,판매",1975-06-27,12월,"김준식, 하창욱",http://www.daedong.co.kr,대구광역시
A000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,10.32,42.91,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,10.48,33.80,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,12.88,68.28,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,12.22,747.91,0.08,,,,,,,,,,,,,,,,,,,,,0.26,,,,가온전선,절연선 및 케이블 제조업,"전력선,통신케이블 제조,도매,수출입",1987-06-08,12월,윤재인,http://www.gaoncable.com,경기도
A000520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,10.93,67.40,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,11.38,51.74,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,19.58,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,1.32,,,,,,,,,,,,,,,,,,,,,2.21,,,,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매",1985-05-29,12월,"허강, 허승범(각자대표)",http://www.samil-pharm.com,서울특별시
A000540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,7.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,흥국화재,보험업,손해보험,1974-12-05,12월,권중원,http://www.insurance.co.kr,서울특별시
