,2011/02,2011/02,2011/02,2011/02,2012/02,2012/02,2012/02,2012/02,2013/02,2013/02,2013/02,2013/02,2014/02,2014/02,2014/02,2014/02,2014/08,2014/08,2014/08,2014/08,2014/12,2014/12,2014/12,2014/12,2015/02,2015/02,2015/02,2015/02,2015/06,2015/06,2015/06,2015/06,2015/07,2015/07,2015/07,2015/07,2015/08,2015/08,2015/08,2015/08,2015/09,2015/09,2015/09,2015/09,2015/11,2015/11,2015/11,2015/11,2015/12,2015/12,2015/12,2015/12,2016/02,2016/02,2016/02,2016/02,2016/03,2016/03,2016/03,2016/03,2016/06,2016/06,2016/06,2016/06,2016/07,2016/07,2016/07,2016/07,2016/08,2016/08,2016/08,2016/08,2016/09,2016/09,2016/09,2016/09,2016/11,2016/11,2016/11,2016/11,2016/12,2016/12,2016/12,2016/12,2017/02,2017/02,2017/02,2017/02,2017/03,2017/03,2017/03,2017/03,2017/06,2017/06,2017/06,2017/06,2017/07,2017/07,2017/07,2017/07,2017/08,2017/08,2017/08,2017/08,2017/09,2017/09,2017/09,2017/09,2017/11,2017/11,2017/11,2017/11,2017/12,2017/12,2017/12,2017/12,2018/02,2018/02,2018/02,2018/02,2018/03,2018/03,2018/03,2018/03,2018/06,2018/06,2018/06,2018/06,2018/07,2018/07,2018/07,2018/07,2018/08,2018/08,2018/08,2018/08,2018/09,2018/09,2018/09,2018/09,2018/11,2018/11,2018/11,2018/11,2018/12,2018/12,2018/12,2018/12,2019/02,2019/02,2019/02,2019/02,2019/03,2019/03,2019/03,2019/03,2019/06,2019/06,2019/06,2019/06,2019/07,2019/07,2019/07,2019/07,2019/08,2019/08,2019/08,2019/08,2019/09,2019/09,2019/09,2019/09,회사명,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,PBR,PCR,PER,PSR,,,,,,,,
A047770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.70,,,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,73.13,88.39,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,43.88,50.63,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,24.26,30.29,3.59,,,,,,,,,,,,,,,,,,,,,3.13,,,,코데즈컴바인,봉제의복 제조업,패션의류,2001-09-18,12월,박영환,http://www.codes-combine.co.kr,서울특별시
A047810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,21.82,29.37,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,17.69,24.66,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,20.77,54.37,1.12,,,,,,,,,,,,,,,,,,,,,3.28,,,,한국항공우주,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,12월,안현호,http://www.koreaaero.com,경상남도
A047820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,16.92,19.76,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,2.32,,,,,,,,,,,,,,,,,,,,,1.86,,,,초록뱀,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급,2002-12-24,12월,"김상헌,조형진 (각자대표이사)",http://www.chorokbaem.com,서울특별시
A047920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,44.48,105.89,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,,,2.80,,,,,,,,,,,,,,,,,,,,,3.32,,,,씨트리,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정",2015-12-21,12월,박재형,http://www.c-tri.co.kr,경기도
A048260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64,50.39,64.47,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,28.57,36.90,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.10,43.74,83.53,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50,32.94,60.22,1.66,,,,,,,,,,,,,,,,,,,,,5.11,,,,오스템임플란트,의료용 기기 제조업,치과용임플란트,2007-02-07,12월,엄태관,http://www.osstem.com,서울특별시
A048410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,103.38,258.98,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,58.63,140.92,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,41.02,69.81,5.74,,,,,,,,,,,,,,,,,,,,,9.08,,,,현대바이오,기타 화학제품 제조업,"LCD모니터, 디지털 사이니지, 바이오 양모제",2002-08-08,12월,오상기,http://www.hyundaiibt.com,경상북도
A048430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,5.24,8.93,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,8.97,16.95,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,6.91,25.80,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,4.70,15.04,0.34,,,,,,,,,,,,,,,,,,,,,0.57,,,,유라테크,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","점화코일, 스파크플러그",2001-01-11,12월,엄대열,http://www.yuratech.co.kr,세종특별자치시
A048470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,8.19,9.34,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,6.59,7.17,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,161.75,2156.74,0.99,,,,,,,,,,,,,,,,,,,,,,,,,대동스틸,1차 철강 제조업,"열연박판, 후판, 무늬강판 외",2002-01-10,12월,임형기 임주희(각자대표이사),http://WWW.DAEDONGSTEEL.CO.KR,인천광역시
A048530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.38,322.85,524.27,69.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65,,,45.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46,,,63.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.23,69.05,76.51,32.38,,,,,,,,,,,,,,,,,,,,,6.58,,,,인트론바이오,기초 의약물질 및 생물학적 제제 제조업,"바이오신약, 핵산검사제, 동물용 항생제 대체재",2011-01-26,12월,"윤성준, 윤경원(각자대표)",,경기도
A048550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,82.53,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,27.77,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,37.39,,0.96,,,,,,,,,,,,,,,,,,,,,1.14,,,,SM C&C,광고업,"영상콘텐츠 제작 및 매니지먼트, 여행",2001-01-18,12월,"김동준, 남궁철",http://www.smcultureandcontents.com,서울특별시
A048770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,12.84,20.10,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,7.97,11.91,0.46,,,,,,,,,,,,,,,,,,,,,2.81,,,,TPC,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)",2001-01-16,12월,"엄주섭, 엄재윤",http://www.TPCpage.com,인천광역시
A048830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,35.33,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,7.07,21.29,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,4.89,16.38,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,8.23,,0.52,,,,,,,,,,,,,,,,,,,,,0.87,,,,엔피케이,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업,2000-10-12,12월,최상건,http://www.npk.co.kr,경기도
A048870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84,5.46,6.04,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,68.29,,2.65,,,,,,,,,,,,,,,,,,,,,1.20,,,,시너지이노베이션,의료용 기기 제조업,카메라 어플리케이션 프로세서(CAP),2004-08-13,12월,구자형,http://www.synergyinnovation.co.kr,경기도
A048910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,12.81,31.46,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,18.69,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,7.55,16.68,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,12.47,60.38,0.77,,,,,,,,,,,,,,,,,,,,,1.01,,,,대원미디어,기타 전문 도매업,"캐릭터 사업, 만화영화 제작",2001-07-31,12월,"정욱, 정동훈",http://daewonmedia.com,서울특별시
A049070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.47,9.89,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,3.73,8.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,3.82,11.06,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,3.93,8.75,0.28,,,,,,,,,,,,,,,,,,,,,0.50,,,,인탑스,통신 및 방송 장비 제조업,휴대전화기용부품,2002-02-21,12월,"김근하, 정사진(각자대표)",http://WWW.INTOPS.CO.KR,경기도
A049080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,20.55,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,,,0.73,,,,,,,,,,,,,,,,,,,,,1.38,,,,기가레인,특수 목적용 기계 제조업,RF통신부품 및 반도체 장비,2013-12-19,12월,장일준,http://www.gigalane.com,경기도
A049120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,6.82,98.38,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,434.48,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,7.08,31.82,0.67,,,,,,,,,,,,,,,,,,,,,1.14,,,,파인디앤씨,전자부품 제조업,Lamp Reflector,2001-07-26,12월,"홍성천,김종찬(각자대표)",http://www.finednc.co.kr,충청남도
A049180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,,,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,,,31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,,9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,,,17.13,,,,,,,,,,,,,,,,,,,,,4.83,,,,셀루메드,기초 의약물질 및 생물학적 제제 제조업,"의료기기, 바이오시밀러 및 헬스케어사업",2002-05-23,12월,유인수,http://www.cellumed.co.kr,서울특별시
A049430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,5.11,6.23,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,6.79,8.13,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,7.33,9.29,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,4.56,5.62,1.00,,,,,,,,,,,,,,,,,,,,,0.51,,,,코메론,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","줄자, 냉간압연",2001-01-16,12월,강동헌,http://www.komelon.co.kr,부산광역시
A049470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,154.86,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,52.22,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,0.59,,,,,,,,,,,,,,,,,,,,,1.13,,,,SGA,소프트웨어 개발 및 공급업,"산업용컴퓨터 제조, 판매",2001-10-11,12월,은유진,http://www.sgacorp.kr,서울특별시
A049480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,12.75,24.36,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10,14.97,21.64,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,21.06,85.87,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,32.70,,0.46,,,,,,,,,,,,,,,,,,,,,1.71,,,,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)",2001-01-09,12월,송규헌,http://www.openbase.co.kr,서울특별시
A049520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,5.79,10.42,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,4.11,7.14,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,5.31,9.50,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,4.22,10.34,0.23,,,,,,,,,,,,,,,,,,,,,0.63,,,,유아이엘,전자부품 제조업,스마트폰 기구부품,2001-08-02,12월,이순영,http://www.e-uil.com,경기도
A049550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,65.10,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,,,0.78,,,,,,,,,,,,,,,,,,,,,1.64,,,,잉크테크,기타 화학제품 제조업,"잉크젯 프린터용 잉크카트리지, 재충전 잉크",2002-02-28,12월,정광춘,http://kr.inktec.com/,경기도
A049630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,14.50,80.06,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,7.62,18.81,0.39,,,,,,,,,,,,,,,,,,,,,1.55,,,,재영솔루텍,사진장비 및 광학기기 제조업,플라스틱 사출금형,2003-01-24,12월,"김학권,김승재(각자 대표이사)",http://www.jysolutec.com,인천광역시
A049720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,9.64,11.84,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,8.56,10.42,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,9.77,12.11,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80,9.81,11.60,0.52,,,,,,,,,,,,,,,,,,,,,3.56,,,,고려신용정보,기타 사업지원 서비스업,"채권추심, 신용조사",2002-01-31,12월,윤태훈,http://www.koryoinfo.co.kr,서울특별시
A049770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,16.17,26.68,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,8.58,15.18,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,9.58,17.58,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,10.84,19.56,0.40,,,,,,,,,,,,,,,,,,,,,1.31,,,,동원F&B,기타 식품 제조업,"참치캔,음료,냉동식품 제조,판매",2000-11-23,12월,김재옥,http://www.dw.co.kr,서울특별시
A049800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,3.19,5.38,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,7.49,115.71,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,0.30,,,,,,,,,,,,,,,,,,,,,0.69,,,,우진플라임,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",2006-05-24,12월,김익환,http://www.woojinplaimm.com,충청북도
A049830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,8.41,12.41,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,12.10,30.10,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,7.41,22.04,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,4.11,6.96,0.37,,,,,,,,,,,,,,,,,,,,,,,,,승일,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브",2001-01-18,12월,현창수,http://WWW.SEUNG IL CAN.Co.Kr,충청남도
A049950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,18.24,24.41,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,18.13,20.33,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64,23.77,25.01,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,18.28,20.41,1.89,,,,,,,,,,,,,,,,,,,,,2.35,,,,미래컴퍼니,특수 목적용 기계 제조업,EdgeGrinder,2005-01-04,12월,김준홍,http://www.meerecompany.com,경기도
A049960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,28.62,30.66,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,22.97,24.72,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,18.95,20.66,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,12.40,13.60,4.22,,,,,,,,,,,,,,,,,,,,,1.32,,,,쎌바이오텍,기초 의약물질 및 생물학적 제제 제조업,유산균 원말 및 완제품,2002-12-13,12월,정명준,http://cbt.co.kr,경기도
A050090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,2.91,,,,,,,,,,,,,,,,,,,,,1.69,,,,휘닉스소재,전자부품 제조업,"Metal Paste, Solder Ball",2004-06-29,12월,"홍석규, 고승범 각자대표",http://www.phoenixmaterials.kr,경상북도
A050110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,7.83,183.59,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,3.97,9.55,0.18,,,,,,,,,,,,,,,,,,,,,1.57,,,,캠시스,전자부품 제조업,"IN-LINE SYSTEM,CSP HANDLER,TRIM/FORM SYSTEM",2001-05-17,12월,박영태 (단일대표),http://www.cammsys.net,인천광역시
A050120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,36.66,89.12,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,3.03,3.12,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,29.69,49.33,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,1.65,,,,,,,,,,,,,,,,,,,,,1.01,,,,라이브플렉스,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,김병진,http://www.liveplex.co.kr,서울특별시
A050320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42,,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,에이앤티앤,기계장비 및 관련 물품 도매업,"중대형 서버, 시스템 S/W",2002-01-15,12월,최기용,http://sitglobal.co.kr,서울특별시
A050540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,30.80,168.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,,0.67,,,,,,,,,,,,,,,,,,,,,2.70,,,,한국코퍼레이션,기타 사업지원 서비스업,"CRM서비스,CRM솔루션",2005-12-12,12월,"성상윤, 조성완 (각자 대표이사)",http://www.mpc.co.kr,서울특별시
A050760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,17.46,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,6.42,12.05,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,64.52,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,5.86,19.91,0.22,,,,,,,,,,,,,,,,,,,,,1.04,,,,에스폴리텍,플라스틱제품 제조업,유무선 통신용 소프트웨어,2002-05-16,12월,이혁렬,http://www.spolytech.com,충청북도
A050860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,10.98,16.11,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,10.35,14.72,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,13.15,20.52,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,36.90,152.31,0.74,,,,,,,,,,,,,아세아텍,특수 목적용 기계 제조업,"농기계(관리기,SS기, 이앙기) 제조",2010-01-26,06월,김신길,http://www.asiakor.com,대구광역시
A050890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,17.05,35.09,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,11.45,17.89,0.73,,,,,,,,,,,,,,,,,,,,,2.83,,,,쏠리드,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기",2005-07-08,12월,"정준, 이승희 (각자대표이사)",http://www.solid.co.kr,경기도
A050960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,7.74,9.64,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,11.04,14.66,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,9.53,14.71,2.82,,,,,,,,,,,,,,,,,,,,,,,,,수산아이앤티,소프트웨어 개발 및 공급업,"공유단말접속관리서비스, 보안솔루션 등",2016-10-11,12월,"정석현,이성권(각자대표)",http://www.soosanint.co.kr,서울특별시
A051160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,67.83,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,18.20,49.14,0.35,,,,,,,,,,,,,,,,,,,,,8.78,,,,지어소프트,소프트웨어 개발 및 공급업,"Mobile Solution & Platform, Internet GIS, Mobile Service",2002-05-28,12월,"오형돈,박승준(공동대표이사)",http://gaeasoft.co.kr,서울특별시
A051360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,4.21,5.79,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,5.17,8.70,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,5.19,10.17,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,3.53,5.70,0.26,,,,,,,,,,,,,,,,,,,,,0.53,,,,토비스,영상 및 음향기기 제조업,Gaming모니터,2004-11-19,12월,"김 용 범, 하 희 조",http://www.tovism.com,인천광역시
A051370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,16.99,26.73,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,0.81,,,,,,,,,,,,,,,,,,,,,1.05,,,,인터플렉스,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,12월,백동원,http://www.interflex.co.kr,경기도
